Feature,Boreal,Polar,Subtropical,Temperate,Tropical
blh,0.2892153830976508,0.5952489245468471,0.735260439918824,0.4775778971371261,0.5004107731883646
lat,6.546764743898144,5.593357020828518,8.313643422503613,4.7031475183860545,9.176677060741085
lon,3.248703699030058,4.040680071356108,4.555815909669372,3.743075581175982,4.208037904126609
month,1.517394483265866,2.1488213885452114,1.3600798885916292,1.1959031894054404,1.5249062981890982
ps,0.5976246634821408,0.6997337683747181,1.2901530492096853,1.047066056786831,1.1881225635394528
t2m,0.4829434652105595,2.479650523823141,2.8557428704368037,2.9063369866837823,1.2218399898191465
u10,0.23471647009619068,0.36697373713953313,0.49670092767397306,0.27019505305679264,0.4073718868216415
v10,0.2565115691037427,0.4409890931265965,0.42025613329737527,0.34547566014980025,0.5533635386613344
wind_speed,0.6513930323299256,0.7723892809260061,0.7369989317256094,0.576783554299241,0.5350228078588465
year,0.8263504664301188,1.124813280347437,0.5910660741193619,0.6181342136718382,0.5443946954319648
