zone,model,train_samples,test_samples,mae,rmse,r2,bias,explained_variance,train_time_sec
Boreal,XGBoost-CPU,41259,8738,4.684079170227051,9.353385320597372,0.16461539268493652,1.6973018646240234,0.1921238899230957,0.6137373447418213
Boreal,LightGBM-CPU,41259,8738,4.124718592638607,7.870640674058427,0.4084805527769868,1.271854055216239,0.4239268285113088,0.39213132858276367
Boreal,Random Forest-CPU,41259,8738,4.738006207728709,9.511806630004502,0.13607730756202818,2.023954758052706,0.175192967839078,6.206319808959961
Boreal,Linear Regression-CPU,41259,8738,7.717433878224423,11.925501694061722,-0.3580075144177559,3.818413811049346,-0.21878325154371359,0.012245416641235352
Boreal,GAM-CPU,41259,8738,6.220506089653457,10.824703935099501,-0.11887329912410438,1.5801373151436573,-0.09503150306088015,3.3699679374694824
Polar,XGBoost-CPU,40862,9135,6.128311634063721,12.646525850559401,0.17160791158676147,3.081099033355713,0.22077840566635132,0.6138651371002197
Polar,LightGBM-CPU,40862,9135,5.529669953285509,11.702425787318319,0.29067500713287486,2.559291936993464,0.3246010626575142,0.45149922370910645
Polar,Random Forest-CPU,40862,9135,5.352772085193461,12.622388734462605,0.1747670252280371,2.9045299708831163,0.21846340039469825,6.264454126358032
Polar,Linear Regression-CPU,40862,9135,9.616032800586932,16.063823335207807,-0.33656877087272785,3.369548120768335,-0.27776068288419387,0.0
Polar,GAM-CPU,40862,9135,8.69469651369625,15.124666657222892,-0.18485469688324652,4.053505360827707,-0.09974968618391311,3.2009832859039307
Subtropical,XGBoost-CPU,42080,7917,8.245474815368652,13.51514235500228,0.5097842216491699,1.865813136100769,0.5191271305084229,0.6489498615264893
Subtropical,LightGBM-CPU,42080,7917,6.944193972594901,12.092018200105406,0.6075868032282583,0.243845609639094,0.6077463921927371,0.5513908863067627
Subtropical,Random Forest-CPU,42080,7917,7.264025354044612,12.801900367347969,0.560159814506033,0.36860940283801574,0.5605244778039415,6.371158599853516
Subtropical,Linear Regression-CPU,42080,7917,12.407890010658607,18.885168795484727,0.042832901943627544,-2.564975697975819,0.06048974727681433,0.011325359344482422
Subtropical,GAM-CPU,42080,7917,9.405542275900258,15.858231610664127,0.32507497272355734,-2.3032199046535435,0.3393119351527941,3.5335144996643066
Temperate,XGBoost-CPU,40262,9735,7.348577976226807,11.116063675738207,0.17786675691604614,2.8421671390533447,0.23161184787750244,0.8975110054016113
Temperate,LightGBM-CPU,40262,9735,5.904777330444801,10.150279772794361,0.31451775963436823,-0.47185615797429026,0.31599912946573483,0.7133734226226807
Temperate,Random Forest-CPU,40262,9735,6.144583019112348,10.753013356018394,0.230691462460061,0.8966703566642228,0.23604088695912695,6.692678213119507
Temperate,Linear Regression-CPU,40262,9735,8.56346829216468,12.195107158822243,0.01050996848711716,1.7328473204098487,0.03048839159879002,0.008655309677124023
Temperate,GAM-CPU,40262,9735,7.135825159311336,11.790017024810208,0.07515480167163224,-2.472403985207677,0.11582527648915364,3.5837950706481934
Tropical,XGBoost-CPU,35525,14472,12.409635543823242,19.87151416463558,-0.25965654850006104,-9.937402725219727,0.05536210536956787,0.5970809459686279
Tropical,LightGBM-CPU,35525,14472,10.84150380349065,16.934195417960662,0.08521435093369811,-0.8215044782516273,0.0873672238396348,0.5290267467498779
Tropical,Random Forest-CPU,35525,14472,10.681523316100126,17.217262271488174,0.054376189933475705,0.29199823459337726,0.05464822119399548,5.829234838485718
Tropical,Linear Regression-CPU,35525,14472,11.680133395082732,18.34808534756301,-0.07391945928827792,-5.4600567212749525,0.021181460892349402,0.008730173110961914
Tropical,GAM-CPU,35525,14472,11.144718640969785,16.761212977997094,0.10380792815153705,-4.009505798429621,0.15509078649907337,2.9091248512268066
